YEAR,COUNTRY,FATALITIES,EVENTS
2015,Bahrain,0,12
2015,Iran,0,2
2015,Iraq,123,23
2015,Israel,2,3
2015,Lebanon,0,2
2015,Palestine,0,2
2015,Turkey,14,8
2015,Yemen,17577,8077
2016,Bahrain,5,3214
2016,Iran,269,1790
2016,Iraq,57735,10588
2016,Israel,15,211
2016,Lebanon,221,929
2016,Palestine,178,1220
2016,Syria,568,465
2016,Turkey,4526,4265
2016,Yemen,16034,9270
2017,Bahrain,17,3744
2017,Iran,199,2668
2017,Iraq,30539,5238
2017,Israel,10,431
2017,Lebanon,389,754
2017,Palestine,125,1704
2017,Syria,54334,31408
2017,Turkey,2612,1764
2017,Yemen,17559,8464
2018,Bahrain,0,1602
2018,Iran,244,3105
2018,Iraq,5138,3656
2018,Israel,7,800
2018,Lebanon,36,577
2018,Palestine,411,5870
2018,Syria,30244,20645
2018,Turkey,990,3080
2018,Yemen,34202,11474
2019,Bahrain,1,715
2019,Iran,480,2589
2019,Iraq,3503,3716
2019,Israel,11,832
2019,Lebanon,25,3658
2019,Palestine,183,5182
2019,Syria,15122,19953
2019,Turkey,557,4746
2019,Yemen,27812,11821
2020,Bahrain,0,299
2020,Iran,433,2387
2020,Iraq,2649,6275
2020,Israel,1,1580
2020,Lebanon,48,2931
2020,Palestine,53,4741
2020,Syria,8390,12366
2020,Turkey,359,4268
2020,Yemen,19707,11826
2021,Bahrain,0,1187
2021,Iran,220,4288
2021,Iraq,2613,7687
2021,Israel,24,1545
2021,Lebanon,74,3210
2021,Palestine,389,6124
2021,Syria,6093,10801
2021,Turkey,213,4741
2021,Yemen,18376,8831
2022,Bahrain,0,729
2022,Iran,739,4613
2022,Iraq,2160,7903
2022,Israel,31,1043
2022,Lebanon,54,1310
2022,Palestine,227,7915
2022,Syria,6178,12621
2022,Turkey,219,5641
2022,Yemen,6541,7918
2023,Bahrain,0,823
2023,Iran,306,4181
2023,Iraq,1384,6552
2023,Israel,1620,4313
2023,Lebanon,290,3398
2023,Palestine,23536,13195
2023,Syria,6327,12810
2023,Turkey,149,6073
2023,Yemen,2094,6092
2024,Bahrain,0,825
2024,Iran,273,3786
2024,Iraq,999,9521
2024,Israel,100,5887
2024,Lebanon,4036,14531
2024,Palestine,29928,21000
2024,Syria,7110,15816
2024,Turkey,55,7235
2024,Yemen,3052,12950
2025,Bahrain,0,583
2025,Iran,687,3614
2025,Iraq,512,4845
2025,Israel,46,1943
2025,Lebanon,343,3041
2025,Palestine,16233,15451
2025,Syria,7080,8407
2025,Turkey,6,4775
2025,Yemen,2465,11091
